163;Extendido;0;0.000133152
163;Trazado;0;2.26E-05
163;Corte;0;8.15E-05
165;Doblar Empacar Y Sellar;0;0.00277
166;Doblar Envolvedera;0;0.00305
168;Cerrar Funda;0;0.01
168;Pulir,Doblar,Sellar Y Empacar;0;0.01
171;Hacer Etiqueta Impresa;0;0.00027
172;Cerrar Funda;0;0.01
172;Pulir,Doblar,Sellar Y Empacar;0;0.01
176;Cerrar Funda;0;0.01527
176;Voltear,Pulir,Doblar Y Empacar;0;0.01305
177;Alistamiento;0;5.79E-05
177;Extendido;0;0.000225694
177;Trazado;0;4.63E-05
177;Corte;0;9.84E-05
178;Cerrar Funda Para Tubo;0;0.01666
178;Resortar Funda Para Tubo;0;0.00833
178;Pulir,Doblar Funda Para Tubo;0;0.0125
179;Pegar Cinta Al Refuerzo;0;0.00555
179;Posic Ref Y Doblar;0;0.01805
180;Cerrar Funda;0;0.01527
180;Voltear,Pulir Y Doblar;0;0.01305
182;Cerrar Funda;0;0.01722
182;Doblar Funda Americana;0;0.01527
185;Sesgar Laterales;0;0.00333
185;Pegar Copa;0;0.00416
185;Pulir Doblar Empacar Gorro Cirujano;0;0.00416
189;Hacer Gorro;0;0.00166
189;Doblar Y Empacar Gorro;0;0.00166
191;Resortar Gorro Mta;0;0.00166
191;Pulir Doblar Gorro Enfermera;0;0.00166
191;Sellar Contenido;0;0.000061
197;Cerrar Gorro Trauma;0;0.01
197;Pulir Doblar Y Empacar Gorro;0;0.00722
200;Revisar,Marcar Y Abrir Absorbente;0;0.005
200;Posicionar Contac Y Sili,Abrir Y Doblar;0;0.03333
204;Armar-Embolsar-Sellar Kit;0;0.01111
205;Armar-Embolsar-Sellar Kit;0;0.01111
215;Armar Contenido;0;0.01
215;Envolver Y Empacar Paquete;0;0.01999
215;Pegar Etiqueta;0;0.00166
215;Empacar Y Sellar Paquete;0;0.00666
218;Pegar Etiqueta;0;0.00166
218;Envolver Paquete;0;0.02083
218;Sellar Paquete;0;0.00166
218;Armar Contenido;0;0.01111
221;Pegar Etiqueta;0;0.00166
221;Armar Kit;0;0.01
221;Envolver Kit;0;0.01
221;Sellar Paquete;0;0.00166
222;Alistamiento;0;0.000208332
222;Extendido;0;0.000815475
222;Trazado;0;8.93E-05
222;Corte;0;0.000589286
223;Armar-Embolsar-Sellar Kit;0;0.01111
224;Armar-Embolsar-Sellar Kit;0;0.01111
231;Pegar Cinta  Dejando Pesta?A A Cada Lado;0;0.00555
231;Doblar Campo;0;0.00333
232;Pegar Cinta A Campo;0;0.005
232;Sellar Bolsa Por Un Lado;0;0.00166
232;Doblar Y Empacar Campo;0;0.0025
232;Sellar Paquete;0;0.00166
233;Tiempo De Alistamiento Del Carro;0;0.13333
233;Controlar Parametros Del Equipo;0;0.5
233;Embalar Producto Esteril;0;0.13333
233;Tiempo De Alistamiento De Equipo;0;0.0833325
234;Doblar Empacar Y Sellar;0;0.00277
235;Cerrar Tiro Y Entrepierna;0;0.01
235;Sesgar Cintura;0;0.00527
235;Pulir,Doblar,Empacar Y Sellar;0;0.01333
236;Alistamiento;0;5.79E-05
236;Extendido;0;0.000225694
236;Trazado;0;4.40E-05
236;Corte Y Recogido;0;0.000138889
239;Cerrar Entrepierna Panty;0;0.0025
239;Resortar Panty Tira;0;0.00333
